"book_id","specification_id","value"
131,1,"8935235243538"
131,3,"Nhã Nam"
131,6,"Thanh Giang"
132,1,"8935244823929"
132,3,"Nhà Xuất Bản Kim Đồng"
133,1,"8935244823868"
133,3,"Nhà Xuất Bản Kim Đồng"
134,1,"8935244823899"
134,3,"Nhà Xuất Bản Kim Đồng"
135,1,"8936214272693"
135,3,"Megabook"
135,6,"Đặng Minh Anh"
136,1,"8935212354806"
136,3,"Đinh Tị"
136,6,"Nguyễn Đức Vịnh"
137,1,"9786042253444"
137,3,"Nhà Xuất Bản Kim Đồng"
137,6,"Thúy Vân, Minh Khuê"
137,4,"Tiếng Việt"
138,1,"8935244836721"
138,3,"Nhà Xuất Bản Kim Đồng"
138,6,"Hoàng Phương Thuý"
139,1,"8935244826371"
139,3,"Nhà Xuất Bản Kim Đồng"
139,6,"Thùy An"
140,1,"8935244856743"
140,3,"Nhà Xuất Bản Kim Đồng"
140,6,"Thanh Vân"
141,1,"8935074132291"
141,3,"Cty Văn Hóa Văn Lang"
142,1,"8935309504039"
142,3,"Alpha Books"
143,1,"8935244856750"
143,3,"Nhà Xuất Bản Kim Đồng"
143,6,"Thanh Vân"
144,1,"8935212371681"
144,3,"Đinh Tị"
144,6,"Thành Đạt"
145,1,"8935309505265"
145,3,"Alpha Books"
145,6,"Nguyễn Duy Anh"
145,4,"Tiếng Việt"
146,1,"9786042260916"
146,2,"2 - 3"
146,3,"Nhà Xuất Bản Kim Đồng"
146,6,"Chi Chi"
146,4,"Tiếng Việt"
147,1,"9786042260923"
147,2,"3 - 4"
147,3,"Nhà Xuất Bản Kim Đồng"
147,6,"Chi Chi"
147,4,"Tiếng Việt"
148,1,"9786042260930"
148,2,"4 - 5"
148,3,"Nhà Xuất Bản Kim Đồng"
148,6,"Chi Chi"
148,4,"Tiếng Việt"
149,1,"9786042260954"
149,2,"5 - 6"
149,3,"Nhà Xuất Bản Kim Đồng"
149,6,"Chi Chi"
149,4,"Tiếng Việt"
150,1,"8935244856767"
150,3,"Nhà Xuất Bản Kim Đồng"
150,6,"Thanh Vân"
151,1,"8934974202226"
151,3,"NXB Trẻ"
151,6,"Trương Quang Tuấn"
152,1,"8935244856774"
152,3,"Nhà Xuất Bản Kim Đồng"
152,6,"Thanh Vân"
153,1,"8935236427883"
