"id","code","name","province_id"
574,"805","Huyện Tân Trụ",51
575,"806","Huyện Cần Đước",51
576,"807","Huyện Cần Giuộc",51
577,"808","Huyện Châu Thành",51
578,"815","Thành phố Mỹ Tho",52
579,"816","Thành phố Gò Công",52
580,"817","Thị xã Cai Lậy",52
581,"818","Huyện Tân Phước",52
582,"819","Huyện Cái Bè",52
583,"820","Huyện Cai Lậy",52
584,"821","Huyện Châu Thành",52
585,"822","Huyện Chợ Gạo",52
586,"823","Huyện Gò Công Tây",52
587,"824","Huyện Gò Công Đông",52
588,"825","Huyện Tân Phú Đông",52
589,"829","Thành phố Bến Tre",53
590,"831","Huyện Châu Thành",53
591,"832","Huyện Chợ Lách",53
592,"833","Huyện Mỏ Cày Nam",53
593,"834","Huyện Giồng Trôm",53
594,"835","Huyện Bình Đại",53
595,"836","Huyện Ba Tri",53
596,"837","Huyện Thạnh Phú",53
597,"838","Huyện Mỏ Cày Bắc",53
598,"842","Thành phố Trà Vinh",54
599,"844","Huyện Càng Long",54
600,"845","Huyện Cầu Kè",54
601,"846","Huyện Tiểu Cần",54
602,"847","Huyện Châu Thành",54
603,"848","Huyện Cầu Ngang",54
604,"849","Huyện Trà Cú",54
605,"850","Huyện Duyên Hải",54
606,"851","Thị xã Duyên Hải",54
607,"855","Thành phố Vĩnh Long",55
608,"857","Huyện Long Hồ",55
609,"858","Huyện Mang Thít",55
610,"859","Huyện  Vũng Liêm",55
611,"860","Huyện Tam Bình",55
612,"861","Thị xã Bình Minh",55
613,"862","Huyện Trà Ôn",55
614,"863","Huyện Bình Tân",55
615,"866","Thành phố Cao Lãnh",56
616,"867","Thành phố Sa Đéc",56
617,"868","Thành phố Hồng Ngự",56
618,"869","Huyện Tân Hồng",56
619,"870","Huyện Hồng Ngự",56
620,"871","Huyện Tam Nông",56
621,"872","Huyện Tháp Mười",56
622,"873","Huyện Cao Lãnh",56
623,"874","Huyện Thanh Bình",56
624,"875","Huyện Lấp Vò",56
625,"876","Huyện Lai Vung",56
626,"877","Huyện Châu Thành",56
627,"883","Thành phố Long Xuyên",57
628,"884","Thành phố Châu Đốc",57
629,"886","Huyện An Phú",57
630,"887","Thị xã Tân Châu",57
631,"888","Huyện Phú Tân",57
632,"889","Huyện Châu Phú",57
633,"890","Thị xã Tịnh Biên",57
634,"891","Huyện Tri Tôn",57
635,"892","Huyện Châu Thành",57
636,"893","Huyện Chợ Mới",57
637,"894","Huyện Thoại Sơn",57
638,"899","Thành phố Rạch Giá",58
639,"900","Thành phố Hà Tiên",58
640,"902","Huyện Kiên Lương",58
641,"903","Huyện Hòn Đất",58
642,"904","Huyện Tân Hiệp",58
643,"905","Huyện Châu Thành",58
644,"906","Huyện Giồng Riềng",58
645,"907","Huyện Gò Quao",58
646,"908","Huyện An Biên",58
647,"909","Huyện An Minh",58
648,"910","Huyện Vĩnh Thuận",58
649,"911","Thành phố Phú Quốc",58
650,"912","Huyện Kiên Hải",58
651,"913","Huyện U Minh Thượng",58
652,"914","Huyện Giang Thành",58
653,"916","Quận Ninh Kiều",59
654,"917","Quận Ô Môn",59
655,"918","Quận Bình Thuỷ",59
656,"919","Quận Cái Răng",59
657,"923","Quận Thốt Nốt",59
658,"924","Huyện Vĩnh Thạnh",59
659,"925","Huyện Cờ Đỏ",59
660,"926","Huyện Phong Điền",59
661,"927","Huyện Thới Lai",59
662,"930","Thành phố Vị Thanh",60
663,"931","Thành phố Ngã Bảy",60
664,"932","Huyện Châu Thành A",60
665,"933","Huyện Châu Thành",60
666,"934","Huyện Phụng Hiệp",60
667,"935","Huyện Vị Thuỷ",60
668,"936","Huyện Long Mỹ",60
669,"937","Thị xã Long Mỹ",60
670,"941","Thành phố Sóc Trăng",61
671,"942","Huyện Châu Thành",61
672,"943","Huyện Kế Sách",61
673,"944","Huyện Mỹ Tú",61
674,"945","Huyện Cù Lao Dung",61
675,"946","Huyện Long Phú",61
676,"947","Huyện Mỹ Xuyên",61
677,"948","Thị xã Ngã Năm",61
678,"949","Huyện Thạnh Trị",61
679,"950","Thị xã Vĩnh Châu",61
680,"951","Huyện Trần Đề",61
681,"954","Thành phố Bạc Liêu",62
682,"956","Huyện Hồng Dân",62
683,"957","Huyện Phước Long",62
684,"958","Huyện Vĩnh Lợi",62
685,"959","Thị xã Giá Rai",62
686,"960","Huyện Đông Hải",62
687,"961","Huyện Hoà Bình",62
688,"964","Thành phố Cà Mau",63
689,"966","Huyện U Minh",63
690,"967","Huyện Thới Bình",63
691,"968","Huyện Trần Văn Thời",63
692,"969","Huyện Cái Nước",63
693,"970","Huyện Đầm Dơi",63
694,"971","Huyện Năm Căn",63
695,"972","Huyện Phú Tân",63
696,"973","Huyện Ngọc Hiển",63
